NAME,mm.year,mm.day,flood,drip,ET_mm_year,ET_se,ET_min,ET_max,ag_ET_mm_year,ag_ET_se,ag_ET_min,ag_ET_max,lon,lat,soil,ET,ET_pred,ag_ET,n,irrigation_efficiency,irrigation_efficiency_min,irrigation_efficiency_max,prop_total_ET,prop_total_ET_min,prop_total_ET_max
Alameda,429.619180475277,1.1770388506172,0.138977635782748,0.842643476375594,640.999492533075,8.90476865203515e-14,640.999492533075,640.999492533075,92.4594459343824,6.37261584604961e-14,92.4594459343822,92.4594459343825,-121.570998058478,37.7874843343063,0.810709514605995,53.4166243777563,45.7116705498911,7.70495382786519,3049,21.5212565305154,21.5212565305154,21.5212565305154,149.201786527304,149.201786527304,149.201786527304
Alpine,886.9807664934,2.43008429176274,0.515432098765432,0.391975308641975,,,,,,,,,,,,,,,,,,,,,
Amador,765.907784382638,2.09837749145928,0.197193989290854,0.802806010709146,809.292110481509,1.27683472087184,806.738441039765,811.845779923252,361.785061618676,1.41261751757949,358.959826583517,364.610296653835,-120.957786823502,38.3280712895779,0.675110500540784,67.4410092067924,37.2922540719027,30.1487551348897,5757,47.2361123617896,46.8672383154922,47.604986408087,105.66443206134,105.331014710869,105.997849411812
Butte,1071.29889920351,2.93506547726988,0.169994594913078,0.228970760272163,985.790925823293,17.3290223282938,951.132881166705,1020.44897047988,349.874261565126,45.1115829863491,259.651095592428,440.097427537824,-121.80429809919,39.5509658976045,0.420809662913237,82.1492438186077,52.9930553548472,29.1561884637605,240738,32.6588836995214,24.2370356009396,41.0807317981032,92.0182898121349,88.7831474366172,95.2534321876526
Calaveras,869.275771611045,2.38157745646862,0.246425495262705,0.719092736147,749.691674044991,53.1685264783439,643.354621088303,856.028727001678,310.193176043404,52.2724638854142,205.648248272576,414.738103814233,-120.884565394593,38.1023987063577,0.438900364619313,62.4743061704158,36.6248748334655,25.8494313369503,1683,35.6840931467028,23.6574232238688,47.7107630695367,86.2432496715712,74.0104167283947,98.4760826147478
Colusa,853.747759138593,2.33903495654409,0.506599250012444,0.445552466285622,945.593574264565,9.12321202956401,927.347150205437,963.839998323694,270.069181657849,21.438913295756,227.191355066337,312.947008249361,-122.073452224697,39.1620614765765,0.511664681752062,78.7994645220471,56.293699383893,22.5057651381541,315602,31.633369313946,26.611063119576,36.6556755083159,110.757956801977,108.620741932149,112.895171671804
Contra Costa,666.068067740387,1.82484402120654,0.448204971659564,0.415244659417044,786.406890609376,5.53995820839224,775.326974192592,797.486807026161,-36.6566678924219,1.0125863238898,-38.6818405402015,-34.6314952446423,-121.639561746167,37.9533438237663,0.423043231083518,65.5339075507814,68.5886298751499,-3.05472232436849,44803,-5.50344171531573,-5.80749061750225,-5.19939281312921,118.067045801675,116.403564702158,119.730526901193
Del Norte,514.669606048462,1.41005371520127,0,0.0791173304628633,,,,,,,,,,,,,,,,,,,,,
El Dorado,910.450934739526,2.49438612257404,0.031201248049922,0.555104870861501,,,,,,,,,,,,,,,,,,,,,
Fresno,636.176567959028,1.74294950125761,0.550858994661069,0.405341369255357,816.002471097739,35.0631895064869,745.876092084765,886.128850110713,498.231203563371,32.3022970573175,433.626609448736,562.835797678006,-120.111387487336,36.5718636678152,0.613530745839847,68.0002059248114,26.4809389611972,41.5192669636142,1236546,78.3164971262285,68.1613613717164,88.4716328807405,128.266665607573,117.243565646826,139.28976556832
Glenn,935.466914249823,2.56292305273924,0.399480287276606,0.421693173926854,953.74688968654,24.8160573791954,904.114774928149,1003.37900444493,403.12921200616,15.9279792251963,371.273253555767,434.985170456552,-122.129534002376,39.5847263182489,0.574890104236292,79.4789074738783,45.884806473365,33.5941010005133,278537,43.0939037891511,39.6885499529934,46.4992576253088,101.954101760122,96.6485036676239,107.25969985262
Humboldt,465.912430445554,1.2764724121796,0.0850534791641513,0.0112707182320442,,,,,,,,,,,,,,,,,,,,,
Imperial,954.195715818328,2.61423483785843,0.943928648032323,0.0428181739598842,,,,,,,,,,,,,,,,,,,,,
Inyo,795.03625865491,2.1781815305614,1,0,,,,,,,,,,,,,,,,,,,,,
Kern,756.765571125929,2.07333033185186,0.411274585607907,0.460060778133762,855.596184292753,33.80743778428,787.981308724193,923.211059861312,570.560913581374,34.3875344076507,501.785844766072,639.335982396675,-119.293369420871,35.4347262128951,0.696732430309444,71.299682024396,23.7529392259483,47.5467427984477,881935,75.3946711307814,66.3066428906784,84.4826993708844,113.059607484492,104.124888709171,121.994326259814
Kings,620.208903542633,1.69920247545927,0.798404625919403,0.186229098953183,780.381761535078,47.9318411608232,684.518079213431,876.245443856724,436.789220920531,61.6822174448409,313.424786030849,560.153655810213,-119.763671641035,36.1402937739604,0.463475893571701,65.0318134612565,28.6327117178789,36.3991017433776,510596,70.4261448724118,50.5353573998321,90.3169323449915,125.825630215487,110.368953961071,141.282306469903
Lake,647.303419223956,1.77343402527111,0.0712236196401276,0.474261970046392,,,,,,,,,,,,,,,,,,,,,
Lassen,466.922541779635,1.27923984049215,0.635020537768874,9.91965082829084e-05,,,,,,,,,,,,,,,,,,,,,
Los Angeles,582.313327384408,1.59537897913537,0.0936595507344362,0.0299401532973384,,,,,,,,,,,,,,,,,,,,,
Madera,842.19532622439,2.30738445540929,0.245561562496021,0.719577213402258,954.458731242838,12.6310880690826,929.196555104673,979.720907381003,540.913236184999,15.3276052666243,510.25802565175,571.568446718247,-120.193539451985,36.9678097061858,0.440224621865085,79.5382276035698,34.4621245881532,45.0761030154166,368424,64.2265777714469,60.5866608093476,67.8664947335461,113.329853719532,110.330291106021,116.329416333043
Marin,998.266176965068,2.73497582730156,0,1,,,,,,,,,,,,,,,,,,,,,
Mariposa,1389.59449843744,3.8071082148971,1,0,641.737799052398,2.86157668845438e-15,641.737799052398,641.737799052398,277.918103572146,4.29236503268157e-15,277.918103572146,277.918103572146,-120.2047712525,37.3324991,0.498246951773763,53.4781499210331,30.3183079566877,23.1598419643455,40,19.9999427088015,19.9999427088015,19.9999427088015,46.1816594534603,46.1816594534603,46.1816594534603
Mendocino,702.812794501218,1.92551450548279,0.0903225018102824,0.637585173787111,,,,,,,,,,,,,,,,,,,,,
Merced,681.97977549041,1.86843774106962,0.657447798321274,0.254997062191495,908.787386864296,28.1592013577593,852.468984148777,965.105789579814,391.105119579134,41.8148823932164,307.475354792701,474.734884365566,-120.649214015921,37.2408064856521,0.466962984382088,75.7322822386914,43.1401889404302,32.5920932982612,542440,57.348492379835,45.0856998760111,69.6112848836588,133.257234235544,124.999159034558,141.515309436531
Modoc,480.432537000695,1.3162535260293,0.365946663489207,0.0158461986600641,,,,,,,,,,,,,,,,,,,,,
Mono,776.662774151535,2.12784321685352,0.118795159147859,0,,,,,,,,,,,,,,,,,,,,,
Monterey,300.0388976968,0.822024377251507,0.141596495205371,0.435934089487782,,,,,,,,,,,,,,,,,,,,,
Napa,611.110388892549,1.67427503806178,0.0027027027027027,0.892901355571347,574.60540153362,0.584550922589666,573.436299688441,575.774503378799,160.719024388717,0.604002492180585,159.511019404356,161.927029373078,-122.169218883884,38.3838194531439,0.685599689216157,47.883783461135,34.4905314287419,13.3932520323931,2147,26.2995077992327,26.101834022724,26.4971815757415,94.0264495543788,93.8351417536231,94.2177573551343
Nevada,1150.09128031627,3.15093501456513,0.526966165955435,0.139958901675779,807.668292596959,4.35470673711211,798.958879122735,816.377706071184,370.725974310868,3.7619424727092,363.202089365449,378.249859256286,-121.197558045918,39.0564148826531,0.386857135208691,67.3056910497467,36.4118598571743,30.8938311925723,1176,32.2344826585347,31.5802837202252,32.8886815968441,70.2264512756634,69.4691710820574,70.9837314692693
Orange,61.5912297826278,0.168743095294871,0,0.980823863636363,,,,,,,,,,,,,,,,,,,,,
Placer,988.43905921161,2.70805221701811,0.447288082774791,0.176267894435905,803.435037906584,26.7672701575057,749.900497591573,856.969578221596,205.48959510564,34.379327202587,136.730940700467,274.248249510814,-121.370925451277,38.883995905307,0.490735474412005,66.9529198255487,49.8287869000786,17.12413292547,44055,20.7893034163929,13.8330167577073,27.7455900750784,81.2832142173149,75.8671453341496,86.6992831004801
Plumas,827.398024593248,2.2668439029952,0.530304711868173,0.00787965616045845,,,,,,,,,,,,,,,,,,,,,
Riverside,949.59556285388,2.60163167905173,0.689770008711732,0.220763338437837,,,,,,,,,,,,,,,,,,,,,
Sacramento,819.798674869597,2.24602376676602,0.639164968083189,0.215008653659666,848.796962642725,26.62885645724,795.539249728245,902.054675557205,72.7061135885565,47.8805724439852,-23.0550312994139,168.467258476527,-121.429803550777,38.3383230296607,0.337345440618092,70.7330802202271,64.6742374211807,6.05884279904637,180063,8.86877666643235,-2.81227964940065,20.5498329822654,103.537245016618,97.0408069828594,110.033683050377
San Benito,285.514585684558,0.782231741601529,0.113842091234073,0.531692707467174,,,,,,,,,,,,,,,,,,,,,
San Bernardino,708.539408827745,1.94120385980204,0.094509029324261,0.184002331504364,,,,,,,,,,,,,,,,,,,,,
San Diego,637.703574847468,1.74713308177389,0.0314890213358687,0.691658431259229,,,,,,,,,,,,,,,,,,,,,
San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,733.460077503391,2.00947966439285,0.440286434661536,0.382365178133221,894.0815133711,22.2269933111092,849.627526748882,938.535499993318,175.304701209249,65.7791241443053,43.7464529206387,306.86294949786,-121.261455795436,37.9533409448141,0.517160400685821,74.506792780925,59.8980676801542,14.6087251007708,536784,23.9010556383607,5.96439455430844,41.837716722413,121.899138180014,115.838278429674,127.959997930355
San Luis Obispo,369.716076357109,1.01292075714277,0.112684057706164,0.795077007658416,452.850449386436,5.03820059550354,442.774048195429,462.926850577443,219.872548024343,3.07078711386146,213.73097379662,226.014122252066,-120.161105572879,35.6157657065124,0.52322547943447,37.7375374488697,19.4148251135077,18.322712335362,2334,59.4706484475314,57.8094888116732,61.1318080833896,122.486004354603,119.760561282099,125.211447427107
San Mateo,1016.87655394156,2.78596316148372,0,0.285560383363731,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,306.709762091666,0.840300718059358,0.0393877038119896,0.655570299665489,,,,,,,,,,,,,,,,,,,,,
Santa Clara,305.948443956721,0.83821491494992,0.00741002117148906,0.620850923927754,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,528.748307351275,1.44862549959254,0.00067476383265857,0.906950316992856,,,,,,,,,,,,,,,,,,,,,
Shasta,817.164451294238,2.23880671587463,0.655497593397336,0.0986032055873261,,,,,,,,,,,,,,,,,,,,,
Sierra,632.692365721069,1.73340374170156,0.228051948051948,0,,,,,,,,,,,,,,,,,,,,,
Siskiyou,542.912908725123,1.48743262664417,0.23519107939937,0.0364293805946629,,,,,,,,,,,,,,,,,,,,,
Solano,743.918384216053,2.03813255949604,0.739026157187173,0.0310143746892355,859.467944079981,45.2879210447006,768.89210199058,950.043786169382,168.771229363399,13.4596597857618,141.851909791876,195.690548934923,-121.810907940617,38.3384018815296,0.545716741341911,71.6223286733317,57.5580595597151,14.0642691136166,189254,22.6867937322522,19.0682086639598,26.3053788005445,115.5325587209,103.35705076046,127.70806668134
Sonoma,663.140988541012,1.81682462613976,0.0615358014913782,0.693258188757974,,,,,,,,,,,,,,,,,,,,,
Stanislaus,838.879887747453,2.29830106232179,0.584929274190939,0.323998478412997,1004.66729591323,17.6592284993305,969.348838914568,1039.98575291189,473.746516260174,38.8160585951393,396.114399069895,551.378633450452,-120.924978079438,37.5988599098328,0.6026873695651,83.7222746594357,44.2433983044212,39.4788763550145,412741,56.4737006071597,47.2194416453987,65.7279595689206,119.76294945048,115.552757083907,123.973141817054
Sutter,884.443303128332,2.4231323373379,0.668442257281234,0.17350342198709,896.864479845397,12.8523836169975,871.159712611403,922.569247079392,150.644602589413,16.6561745011496,117.332253587113,183.956951591712,-121.677528123266,39.003072910629,0.496801343389763,74.7387066537831,62.184989771332,12.5537168824511,273535,17.0327031768541,13.2662266956063,20.7991796581018,101.404406214975,98.4980845612212,104.310727868729
Tehama,913.953129817111,2.50398117758113,0.287586523893393,0.33396843792324,908.638038522651,28.9860344862387,850.665969550174,966.610107495129,479.885632923843,26.8998884873196,426.085855949203,533.685409898482,-122.181723128882,39.9770298810888,0.633112393867477,75.7198365435543,35.7293671332341,39.9904694103202,117713,52.5065911224431,46.6200992204563,58.3930830244299,99.4184503426862,93.0754479412307,105.761452744142
Trinity,937.129009077688,2.56747673719915,0.46652719665272,0.0170068027210884,,,,,,,,,,,,,,,,,,,,,
Tulare,778.695026971136,2.13341103279763,0.52209561398561,0.382485825320005,867.920126607356,32.779821327583,802.360483952191,933.479769262522,506.968324393715,37.8004190588951,431.367486275925,582.569162511505,-119.272062315349,36.1436064731376,0.602221880082004,72.3266772172798,30.0793168511369,42.2473603661428,726250,65.1048622161686,55.3962040766846,74.8135203556526,111.458285534875,103.039117518588,119.877453551161
Tuolumne,714.034770275363,1.95625964459004,0.485915492957746,0.151584507042254,,,,,,,,,,,,,,,,,,,,,
Ventura,470.596906843148,1.28930659409082,0.0874086461196195,0.635766643523271,,,,,,,,,,,,,,,,,,,,,
Yolo,694.566177097412,1.90292103314359,0.707048270543336,0.181578880096624,813.756701290486,18.9366116774872,775.883477935511,851.62992464546,151.949369536089,39.3399104702923,73.2695485955049,230.629190476674,-121.810969658073,38.663024481179,0.575760576429417,67.8130584408738,55.150610979533,12.6624474613408,326880,21.8768743060719,10.548965816576,33.2047827955677,117.160427346343,111.707639029865,122.613215662821
Yuba,1151.99417660249,3.15614842904791,0.533650544000333,0.282692771216338,972.203954524893,25.3512915729392,921.501371379015,1022.90653767077,296.262231235677,25.5723880819044,245.117455071868,347.407007399486,-121.517550699862,39.1456210399538,0.519469538513614,81.0169962104077,56.328476940768,24.6885192696397,91766,25.7173375745203,21.277664423164,30.1570107258766,84.3931309958668,79.9918428491322,88.7944191426014
